Utterance,Classification,Questions
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Understandable,Are there any emergency response teams stationed along the route to provide assistance if needed?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Medium level understandability,How do you ensure that the evacuation plans are up-to-date and reflect the current layout of the building?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Not understandable,How do you ensure that the dead ends are clearly marked and communicated to everyone?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Understandable,Are there any additional safety measures in place along the evacuation route to assist people with mobility issues?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Medium level understandability,"How do you ensure that everyone, including visitors, is aware of the evacuation routes and dead ends?"
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Not understandable,"What protocols are in place to manage confusion during an evacuation, especially regarding dead ends?"
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Understandable,How are emergency drills designed to ensure everyone understands and follows the correct evacuation routes?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Understandable,Are there staff or emergency personnel available to guide evacuees and ensure they avoid dead ends?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Medium level understandability,How are the evacuation routes clearly marked to ensure everyone can find their way out safely?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Not understandable,How do you communicate the evacuation routes and dead ends to people who may not speak the primary language used in the building?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Understandable,Are there emergency lights and signs to guide us along the correct evacuation routes?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Medium level understandability,How do you ensure that everyone is aware of the correct evacuation routes and avoids dead ends?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Not understandable,What are the protocols for ensuring that new occupants and visitors are aware of the evacuation routes and dead ends?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Understandable,Are there designated staff members responsible for guiding people during an evacuation?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Medium level understandability,"How are the evacuation routes and dead ends communicated to everyone, including visitors?"
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Not understandable,How do you ensure that the evacuation routes are always accessible and free of obstacles?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Understandable,How are the evacuation plans communicated and updated to all building occupants?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Understandable,Are there any visual aids or maps available that show the correct evacuation route?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Medium level understandability,How are the dead ends marked to ensure they are easily identifiable during an emergency?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Not understandable,Can you provide more details on why room 2 and room 6 are designated as dead ends?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Understandable,Are there staff members available to guide us along the correct path and prevent entry into dead ends?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Medium level understandability,What measures are in place to ensure that the evacuation route remains clear and unobstructed?
"(In room 1) “In room 1 Proceeding to room 3 because room 2 is dead end” (In room 3) “In room 3 Proceeding to room 4” (In room 4) ""In room 4 Proceeding to room 5” (In room 5) ""In room 5 Proceeding to room 7 because room 6 is dead end” (In room 7) “In room 7 Proceeding to exit door”",Not understandable,How are the dead ends communicated to all building occupants to prevent confusion?
